page	imdb	title	orig	en	year	group	cast	douban
3e563eef5ca3812eb57dd2dbc9321068	tt0071324	忠烈图	忠烈圖	The Valiant Ones	1974	我自己看的	Feng Hsu, Ying Bai
3e563eef5ca38185847ad33378237c3b	tt0093342	何处是我朋友的家	خانه دوست کجاست؟	Where Is the Friend's House?	1987	我自己看的	Babek Ahmedpoor, Ahmed Ahmedpoor
3e563eef5ca381ca8dabf22c32206fe1	tt0192213	空山灵雨	空山靈雨	Raining in the Mountain	1979	我自己看的	Feng Hsu, Yueh Sun
3e563eef5ca38190b3e6c6af95478d23	tt0060635	龙门客栈	龍門客棧	Dragon Inn	1967	我自己看的	Polly Ling-Feng Shang-Kuan, Chun Shih
3e563eef5ca3817ebb7ec7e7a3ecd353	tt0443680	刺杀骗子罗伯特·福特		The Assassination of Jesse James by the Coward Robert Ford	2007	我自己看的	Brad Pitt, Casey Affleck
3e563eef5ca3811bba57f00e6156cb4c	tt0102816	阮玲玉		Center Stage	1991	我自己看的	Maggie Cheung, Chin Han
3e563eef5ca38116bde9d04568fddef9	tt5753856	暗黑	Dark	Dark	2017	我自己看的	Louis Hofmann, Karoline Eichhorn
3e563eef5ca3812caab2f30664056b2b	tt0210916	那山那人那狗		Postmen in the Mountains	1999	我自己看的	Rujun Teng, Ye Liu	https://movie.douban.com/subject/1307766/
3e563eef5ca3816e8a14cdf83382166d	tt0110340	梁祝		The Lovers	1994	我自己看的	Nicky Wu, Charlie Yeung	https://movie.douban.com/subject/1310159/
3e563eef5ca3812794acd9c78121110a	tt33764258	奥德赛		The Odyssey	2026	我自己看的	Matt Damon, Tom Holland
